Layer,Class,Count,Cluster
1,1,36,1
1,2,9,0
1,2,19,2
1,2,18,3
1,3,3,1
1,3,46,2
1,3,1,3
2,1,36,1
2,2,9,0
2,2,20,2
2,2,17,3
2,3,1,1
2,3,1,2
2,3,48,3
3,1,36,1
3,2,18,0
3,2,19,2
3,2,9,3
3,3,1,1
3,3,49,2
