Layer,Class,Count,Cluster
1,1,22,0
1,1,13,2
1,2,22,1
1,2,1,2
1,2,24,3
1,3,16,0
1,3,15,1
1,3,2,2
1,3,17,3
2,1,13,1
2,1,22,2
2,2,22,0
2,2,1,1
2,2,24,3
2,3,16,0
2,3,15,1
2,3,2,2
2,3,17,3
3,1,13,0
3,1,22,2
3,2,1,0
3,2,27,1
3,2,19,3
3,3,15,0
3,3,16,1
3,3,2,2
3,3,17,3
